r030,txt,rate,cc,exchangedate
344,Гонконгівський долар,3.5992,HKD,18.04.2021
348,Форинт,0.09321,HUF,18.04.2021
356,Індійська рупія,0.3724,INR,18.04.2021
360,Рупія,0.0019128,IDR,18.04.2021
376,Новий ізраїльський шекель,8.5221,ILS,18.04.2021
392,Єна,0.25697,JPY,18.04.2021
398,Теньге,0.064815,KZT,18.04.2021
410,Вона,0.025024,KRW,18.04.2021
484,Мексиканське песо,1.3984,MXN,18.04.2021
498,Молдовський лей,1.5639,MDL,18.04.2021
554,Новозеландський долар,20.0146,NZD,18.04.2021
578,Норвезька крона,3.3316,NOK,18.04.2021
643,Російський рубль,0.36407,RUB,18.04.2021
682,Саудівський ріял,7.4548,SAR,18.04.2021
702,Сінгапурський долар,20.9464,SGD,18.04.2021
710,Ренд,1.9688,ZAR,18.04.2021
752,Шведська крона,3.3029,SEK,18.04.2021
756,Швейцарський франк,30.2999,CHF,18.04.2021
818,Єгипетський фунт,1.7829,EGP,18.04.2021
826,Фунт стерлінгів,38.5501,GBP,18.04.2021
840,Долар США,27.9592,USD,18.04.2021
933,Білоруський рубль,10.7226,BYN,18.04.2021
946,Румунський лей,6.7941,RON,18.04.2021
949,Турецька ліра,3.455,TRY,18.04.2021
960,СПЗ (спеціальні права запозичення),39.9566,XDR,18.04.2021
975,Болгарський лев,17.1067,BGN,18.04.2021
978,Євро,33.4616,EUR,18.04.2021
985,Злотий,7.3453,PLN,18.04.2021
12,Алжирський динар,0.20766,DZD,18.04.2021
50,Така,0.3281,BDT,18.04.2021
51,Вірменський драм,0.05238,AMD,18.04.2021
364,Іранський ріал,0.00066244,IRR,18.04.2021
368,Іракський динар,0.019057,IQD,18.04.2021
417,Сом,0.32812,KGS,18.04.2021
422,Ліванський фунт,0.018456,LBP,18.04.2021
434,Лівійський динар,6.1267,LYD,18.04.2021
458,Малайзійський ринггіт,6.7131,MYR,18.04.2021
504,Марокканський дирхам,3.0694,MAD,18.04.2021
586,Пакистанська рупія,0.18264,PKR,18.04.2021
704,Донг,0.0012057,VND,18.04.2021
764,Бат,0.88992,THB,18.04.2021
784,Дирхам ОАЕ,7.5749,AED,18.04.2021
788,Туніський динар,9.9395,TND,18.04.2021
860,Узбецький сум,0.0026534,UZS,18.04.2021
934,Туркменський новий манат,7.9493,TMT,18.04.2021
941,Сербський динар,0.27753,RSD,18.04.2021
944,Азербайджанський манат,16.3778,AZN,18.04.2021
972,Сомоні,2.4591,TJS,18.04.2021
981,Ларі,8.1066,GEL,18.04.2021
986,Бразильський реал,4.8463,BRL,18.04.2021
959,Золото,48933.91,XAU,18.04.2021
961,Срібло,716.79,XAG,18.04.2021
962,Платина,33455.14,XPT,18.04.2021
964,Паладій,77081.56,XPD,18.04.2021
36,Австралійський долар,21.6706,AUD,19.04.2021
124,Канадський долар,22.3755,CAD,19.04.2021
156,Юань Женьміньбі,4.291,CNY,19.04.2021
191,Куна,4.4305,HRK,19.04.2021
203,Чеська крона,1.2932,CZK,19.04.2021
208,Данська крона,4.5082,DKK,19.04.2021
344,Гонконгівський долар,3.5998,HKD,19.04.2021
348,Форинт,0.092846,HUF,19.04.2021
356,Індійська рупія,0.37632,INR,19.04.2021
360,Рупія,0.0019222,IDR,19.04.2021
376,Новий ізраїльський шекель,8.536,ILS,19.04.2021
392,Єна,0.25709,JPY,19.04.2021
398,Теньге,0.065066,KZT,19.04.2021
410,Вона,0.025076,KRW,19.04.2021
484,Мексиканське песо,1.4027,MXN,19.04.2021
498,Молдовський лей,1.5654,MDL,19.04.2021
554,Новозеландський долар,20.0269,NZD,19.04.2021
578,Норвезька крона,3.3448,NOK,19.04.2021
643,Російський рубль,0.3688,RUB,19.04.2021
682,Саудівський ріял,7.4595,SAR,19.04.2021
702,Сінгапурський долар,20.9811,SGD,19.04.2021
710,Ренд,1.9603,ZAR,19.04.2021
752,Шведська крона,3.3173,SEK,19.04.2021
756,Швейцарський франк,30.436,CHF,19.04.2021
818,Єгипетський фунт,1.7842,EGP,19.04.2021
826,Фунт стерлінгів,38.6115,GBP,19.04.2021
840,Долар США,27.9783,USD,19.04.2021
933,Білоруський рубль,10.7671,BYN,19.04.2021
946,Румунський лей,6.8054,RON,19.04.2021
949,Турецька ліра,3.4652,TRY,19.04.2021
960,СПЗ (спеціальні права запозичення),40.006,XDR,19.04.2021
975,Болгарський лев,17.1425,BGN,19.04.2021
978,Євро,33.525,EUR,19.04.2021
985,Злотий,7.3691,PLN,19.04.2021
12,Алжирський динар,0.20766,DZD,19.04.2021
50,Така,0.3281,BDT,19.04.2021
51,Вірменський драм,0.05238,AMD,19.04.2021
364,Іранський ріал,0.00066244,IRR,19.04.2021
368,Іракський динар,0.019057,IQD,19.04.2021
417,Сом,0.32812,KGS,19.04.2021
422,Ліванський фунт,0.018456,LBP,19.04.2021
434,Лівійський динар,6.1267,LYD,19.04.2021
458,Малайзійський ринггіт,6.7131,MYR,19.04.2021
504,Марокканський дирхам,3.0694,MAD,19.04.2021
586,Пакистанська рупія,0.18264,PKR,19.04.2021
704,Донг,0.0012057,VND,19.04.2021
764,Бат,0.88992,THB,19.04.2021
784,Дирхам ОАЕ,7.5749,AED,19.04.2021
788,Туніський динар,9.9395,TND,19.04.2021
860,Узбецький сум,0.0026534,UZS,19.04.2021
934,Туркменський новий манат,7.9493,TMT,19.04.2021
941,Сербський динар,0.27753,RSD,19.04.2021
944,Азербайджанський манат,16.3778,AZN,19.04.2021
972,Сомоні,2.4591,TJS,19.04.2021
981,Ларі,8.1066,GEL,19.04.2021
986,Бразильський реал,4.8463,BRL,19.04.2021
959,Золото,49840.82,XAU,19.04.2021
961,Срібло,733.29,XAG,19.04.2021
962,Платина,33726.44,XPT,19.04.2021
964,Паладій,77743.86,XPD,19.04.2021
36,Австралійський долар,21.7586,AUD,20.04.2021
124,Канадський долар,22.4043,CAD,20.04.2021
156,Юань Женьміньбі,4.3013,CNY,20.04.2021
191,Куна,4.4521,HRK,20.04.2021
203,Чеська крона,1.3014,CZK,20.04.2021
208,Данська крона,4.5331,DKK,20.04.2021
344,Гонконгівський долар,3.6062,HKD,20.04.2021
348,Форинт,0.093546,HUF,20.04.2021
356,Індійська рупія,0.37409,INR,20.04.2021
360,Рупія,0.001923,IDR,20.04.2021
376,Новий ізраїльський шекель,8.5845,ILS,20.04.2021
392,Єна,0.25914,JPY,20.04.2021
398,Теньге,0.065043,KZT,20.04.2021
410,Вона,0.025071,KRW,20.04.2021
484,Мексиканське песо,1.4113,MXN,20.04.2021
498,Молдовський лей,1.5649,MDL,20.04.2021
554,Новозеландський долар,20.12,NZD,20.04.2021
578,Норвезька крона,3.3782,NOK,20.04.2021
643,Російський рубль,0.36737,RUB,20.04.2021
682,Саудівський ріял,7.468,SAR,20.04.2021
702,Сінгапурський долар,21.0481,SGD,20.04.2021
710,Ренд,1.9672,ZAR,20.04.2021
752,Шведська крона,3.3387,SEK,20.04.2021
756,Швейцарський франк,30.6491,CHF,20.04.2021
818,Єгипетський фунт,1.7862,EGP,20.04.2021
826,Фунт стерлінгів,39.0343,GBP,20.04.2021
840,Долар США,28.0087,USD,20.04.2021
933,Білоруський рубль,10.7996,BYN,20.04.2021
946,Румунський лей,6.8431,RON,20.04.2021
949,Турецька ліра,3.4644,TRY,20.04.2021
960,СПЗ (спеціальні права запозичення),40.1663,XDR,20.04.2021
975,Болгарський лев,17.2276,BGN,20.04.2021
978,Євро,33.7099,EUR,20.04.2021
985,Злотий,7.4154,PLN,20.04.2021
12,Алжирський динар,0.20766,DZD,20.04.2021
50,Така,0.3281,BDT,20.04.2021
51,Вірменський драм,0.05238,AMD,20.04.2021
364,Іранський ріал,0.00066244,IRR,20.04.2021
368,Іракський динар,0.019057,IQD,20.04.2021
417,Сом,0.32812,KGS,20.04.2021
422,Ліванський фунт,0.018456,LBP,20.04.2021
434,Лівійський динар,6.1267,LYD,20.04.2021
458,Малайзійський ринггіт,6.7131,MYR,20.04.2021
504,Марокканський дирхам,3.0694,MAD,20.04.2021
586,Пакистанська рупія,0.18264,PKR,20.04.2021
704,Донг,0.0012057,VND,20.04.2021
764,Бат,0.88992,THB,20.04.2021
784,Дирхам ОАЕ,7.5749,AED,20.04.2021
788,Туніський динар,9.9395,TND,20.04.2021
860,Узбецький сум,0.0026534,UZS,20.04.2021
934,Туркменський новий манат,7.9493,TMT,20.04.2021
941,Сербський динар,0.27753,RSD,20.04.2021
944,Азербайджанський манат,16.3778,AZN,20.04.2021
972,Сомоні,2.4591,TJS,20.04.2021
981,Ларі,8.1066,GEL,20.04.2021
986,Бразильський реал,4.8463,BRL,20.04.2021
959,Золото,49774.26,XAU,20.04.2021
961,Срібло,725.13,XAG,20.04.2021
962,Платина,34039.25,XPT,20.04.2021
964,Паладій,79201.32,XPD,20.04.2021
36,Австралійський долар,21.7705,AUD,21.04.2021
124,Канадський долар,22.3567,CAD,21.04.2021
156,Юань Женьміньбі,4.3103,CNY,21.04.2021
191,Куна,4.4556,HRK,21.04.2021
203,Чеська крона,1.3024,CZK,21.04.2021
208,Данська крона,4.5368,DKK,21.04.2021
344,Гонконгівський долар,3.6083,HKD,21.04.2021
348,Форинт,0.093393,HUF,21.04.2021
356,Індійська рупія,0.37402,INR,21.04.2021
360,Рупія,0.0019317,IDR,21.04.2021
376,Новий ізраїльський шекель,8.6146,ILS,21.04.2021
392,Єна,0.25832,JPY,21.04.2021
398,Теньге,0.065093,KZT,21.04.2021
410,Вона,0.025188,KRW,21.04.2021
484,Мексиканське песо,1.4089,MXN,21.04.2021
498,Молдовський лей,1.5612,MDL,21.04.2021
554,Новозеландський долар,20.1627,NZD,21.04.2021
578,Норвезька крона,3.3721,NOK,21.04.2021
643,Російський рубль,0.36504,RUB,21.04.2021
682,Саудівський ріял,7.4686,SAR,21.04.2021
702,Сінгапурський долар,21.0805,SGD,21.04.2021
710,Ренд,1.9585,ZAR,21.04.2021
752,Шведська крона,3.3295,SEK,21.04.2021
756,Швейцарський франк,30.5915,CHF,21.04.2021
818,Єгипетський фунт,1.7846,EGP,21.04.2021
826,Фунт стерлінгів,39.0944,GBP,21.04.2021
840,Долар США,28.0096,USD,21.04.2021
933,Білоруський рубль,10.8346,BYN,21.04.2021
946,Румунський лей,6.8461,RON,21.04.2021
949,Турецька ліра,3.4494,TRY,21.04.2021
960,СПЗ (спеціальні права запозичення),40.1816,XDR,21.04.2021
975,Болгарський лев,17.2526,BGN,21.04.2021
978,Євро,33.7362,EUR,21.04.2021
985,Злотий,7.4121,PLN,21.04.2021
12,Алжирський динар,0.20766,DZD,21.04.2021
50,Така,0.3281,BDT,21.04.2021
51,Вірменський драм,0.05238,AMD,21.04.2021
364,Іранський ріал,0.00066244,IRR,21.04.2021
368,Іракський динар,0.019057,IQD,21.04.2021
417,Сом,0.32812,KGS,21.04.2021
422,Ліванський фунт,0.018456,LBP,21.04.2021
434,Лівійський динар,6.1267,LYD,21.04.2021
458,Малайзійський ринггіт,6.7131,MYR,21.04.2021
504,Марокканський дирхам,3.0694,MAD,21.04.2021
586,Пакистанська рупія,0.18264,PKR,21.04.2021
704,Донг,0.0012057,VND,21.04.2021
764,Бат,0.88992,THB,21.04.2021
784,Дирхам ОАЕ,7.5749,AED,21.04.2021
788,Туніський динар,9.9395,TND,21.04.2021
860,Узбецький сум,0.0026534,UZS,21.04.2021
934,Туркменський новий манат,7.9493,TMT,21.04.2021
941,Сербський динар,0.27753,RSD,21.04.2021
944,Азербайджанський манат,16.3778,AZN,21.04.2021
972,Сомоні,2.4591,TJS,21.04.2021
981,Ларі,8.1066,GEL,21.04.2021
986,Бразильський реал,4.8463,BRL,21.04.2021
959,Золото,49607.24,XAU,21.04.2021
961,Срібло,726.01,XAG,21.04.2021
962,Платина,33296.13,XPT,21.04.2021
964,Паладій,77021.08,XPD,21.04.2021
36,Австралійський долар,21.6689,AUD,22.04.2021
124,Канадський долар,22.2529,CAD,22.04.2021
156,Юань Женьміньбі,4.3185,CNY,22.04.2021
191,Куна,4.4483,HRK,22.04.2021
203,Чеська крона,1.3015,CZK,22.04.2021
208,Данська крона,4.5315,DKK,22.04.2021
344,Гонконгівський долар,3.6145,HKD,22.04.2021
348,Форинт,0.092971,HUF,22.04.2021
356,Індійська рупія,0.37467,INR,22.04.2021
360,Рупія,0.0019306,IDR,22.04.2021
376,Новий ізраїльський шекель,8.6193,ILS,22.04.2021
392,Єна,0.25967,JPY,22.04.2021
398,Теньге,0.064971,KZT,22.04.2021
410,Вона,0.025088,KRW,22.04.2021
484,Мексиканське песо,1.41,MXN,22.04.2021
498,Молдовський лей,1.5585,MDL,22.04.2021
554,Новозеландський долар,20.1538,NZD,22.04.2021
578,Норвезька крона,3.3541,NOK,22.04.2021
643,Російський рубль,0.36548,RUB,22.04.2021
682,Саудівський ріял,7.4816,SAR,22.04.2021
702,Сінгапурський долар,21.0928,SGD,22.04.2021
710,Ренд,1.9646,ZAR,22.04.2021
752,Шведська крона,3.3201,SEK,22.04.2021
756,Швейцарський франк,30.5688,CHF,22.04.2021
818,Єгипетський фунт,1.7871,EGP,22.04.2021
826,Фунт стерлінгів,39.059,GBP,22.04.2021
840,Долар США,28.0576,USD,22.04.2021
933,Білоруський рубль,10.8264,BYN,22.04.2021
946,Румунський лей,6.8396,RON,22.04.2021
949,Турецька ліра,3.4318,TRY,22.04.2021
960,СПЗ (спеціальні права запозичення),40.2164,XDR,22.04.2021
975,Болгарський лев,17.2291,BGN,22.04.2021
978,Євро,33.6986,EUR,22.04.2021
985,Злотий,7.3956,PLN,22.04.2021
12,Алжирський динар,0.20766,DZD,22.04.2021
50,Така,0.3281,BDT,22.04.2021
51,Вірменський драм,0.05238,AMD,22.04.2021
364,Іранський ріал,0.00066244,IRR,22.04.2021
368,Іракський динар,0.019057,IQD,22.04.2021
417,Сом,0.32812,KGS,22.04.2021
422,Ліванський фунт,0.018456,LBP,22.04.2021
434,Лівійський динар,6.1267,LYD,22.04.2021
458,Малайзійський ринггіт,6.7131,MYR,22.04.2021
504,Марокканський дирхам,3.0694,MAD,22.04.2021
586,Пакистанська рупія,0.18264,PKR,22.04.2021
704,Донг,0.0012057,VND,22.04.2021
764,Бат,0.88992,THB,22.04.2021
784,Дирхам ОАЕ,7.5749,AED,22.04.2021
788,Туніський динар,9.9395,TND,22.04.2021
860,Узбецький сум,0.0026534,UZS,22.04.2021
934,Туркменський новий манат,7.9493,TMT,22.04.2021
941,Сербський динар,0.27753,RSD,22.04.2021
944,Азербайджанський манат,16.3778,AZN,22.04.2021
972,Сомоні,2.4591,TJS,22.04.2021
981,Ларі,8.1066,GEL,22.04.2021
986,Бразильський реал,4.8463,BRL,22.04.2021
959,Золото,50062.33,XAU,22.04.2021
961,Срібло,732.05,XAG,22.04.2021
962,Платина,33476.36,XPT,22.04.2021
964,Паладій,78217.29,XPD,22.04.2021
36,Австралійський долар,21.7063,AUD,23.04.2021
124,Канадський долар,22.4469,CAD,23.04.2021
156,Юань Женьміньбі,4.3236,CNY,23.04.2021
191,Куна,4.4647,HRK,23.04.2021
203,Чеська крона,1.3074,CZK,23.04.2021
208,Данська крона,4.5465,DKK,23.04.2021
344,Гонконгівський долар,3.6167,HKD,23.04.2021
348,Форинт,0.092983,HUF,23.04.2021
356,Індійська рупія,0.37447,INR,23.04.2021
360,Рупія,0.0019321,IDR,23.04.2021
376,Новий ізраїльський шекель,8.6047,ILS,23.04.2021
392,Єна,0.25946,JPY,23.04.2021
398,Теньге,0.06493,KZT,23.04.2021
410,Вона,0.025113,KRW,23.04.2021
484,Мексиканське песо,1.4086,MXN,23.04.2021
498,Молдовський лей,1.5578,MDL,23.04.2021
554,Новозеландський долар,20.1515,NZD,23.04.2021
578,Норвезька крона,3.3653,NOK,23.04.2021
643,Російський рубль,0.37081,RUB,23.04.2021
682,Саудівський ріял,7.4832,SAR,23.04.2021
702,Сінгапурський долар,21.1327,SGD,23.04.2021
710,Ренд,1.9629,ZAR,23.04.2021
752,Шведська крона,3.3401,SEK,23.04.2021
756,Швейцарський франк,30.6428,CHF,23.04.2021
818,Єгипетський фунт,1.7894,EGP,23.04.2021
826,Фунт стерлінгів,38.925,GBP,23.04.2021
840,Долар США,28.0642,USD,23.04.2021
933,Білоруський рубль,10.8936,BYN,23.04.2021
946,Румунський лей,6.8625,RON,23.04.2021
949,Турецька ліра,3.3949,TRY,23.04.2021
960,СПЗ (спеціальні права запозичення),40.2546,XDR,23.04.2021
975,Болгарський лев,17.2948,BGN,23.04.2021
978,Євро,33.8103,EUR,23.04.2021
985,Злотий,7.4209,PLN,23.04.2021
12,Алжирський динар,0.20766,DZD,23.04.2021
50,Така,0.3281,BDT,23.04.2021
51,Вірменський драм,0.05238,AMD,23.04.2021
364,Іранський ріал,0.00066244,IRR,23.04.2021
368,Іракський динар,0.019057,IQD,23.04.2021
417,Сом,0.32812,KGS,23.04.2021
422,Ліванський фунт,0.018456,LBP,23.04.2021
434,Лівійський динар,6.1267,LYD,23.04.2021
458,Малайзійський ринггіт,6.7131,MYR,23.04.2021
504,Марокканський дирхам,3.0694,MAD,23.04.2021
586,Пакистанська рупія,0.18264,PKR,23.04.2021
704,Донг,0.0012057,VND,23.04.2021
764,Бат,0.88992,THB,23.04.2021
784,Дирхам ОАЕ,7.5749,AED,23.04.2021
788,Туніський динар,9.9395,TND,23.04.2021
860,Узбецький сум,0.0026534,UZS,23.04.2021
934,Туркменський новий манат,7.9493,TMT,23.04.2021
941,Сербський динар,0.27753,RSD,23.04.2021
944,Азербайджанський манат,16.3778,AZN,23.04.2021
972,Сомоні,2.4591,TJS,23.04.2021
981,Ларі,8.1066,GEL,23.04.2021
986,Бразильський реал,4.8463,BRL,23.04.2021
959,Золото,50107.79,XAU,23.04.2021
961,Срібло,738.85,XAG,23.04.2021
962,Платина,33977.61,XPT,23.04.2021
964,Паладій,80083.44,XPD,23.04.2021
36,Австралійський долар,21.7063,AUD,24.04.2021
124,Канадський долар,22.4469,CAD,24.04.2021
156,Юань Женьміньбі,4.3236,CNY,24.04.2021
191,Куна,4.4647,HRK,24.04.2021
203,Чеська крона,1.3074,CZK,24.04.2021
208,Данська крона,4.5465,DKK,24.04.2021
344,Гонконгівський долар,3.6167,HKD,24.04.2021
348,Форинт,0.092983,HUF,24.04.2021
356,Індійська рупія,0.37447,INR,24.04.2021
360,Рупія,0.0019321,IDR,24.04.2021
376,Новий ізраїльський шекель,8.6047,ILS,24.04.2021
392,Єна,0.25946,JPY,24.04.2021
398,Теньге,0.06493,KZT,24.04.2021
410,Вона,0.025113,KRW,24.04.2021
484,Мексиканське песо,1.4086,MXN,24.04.2021
498,Молдовський лей,1.5578,MDL,24.04.2021
554,Новозеландський долар,20.1515,NZD,24.04.2021
578,Норвезька крона,3.3653,NOK,24.04.2021
643,Російський рубль,0.37081,RUB,24.04.2021
682,Саудівський ріял,7.4832,SAR,24.04.2021
702,Сінгапурський долар,21.1327,SGD,24.04.2021
710,Ренд,1.9629,ZAR,24.04.2021
752,Шведська крона,3.3401,SEK,24.04.2021
756,Швейцарський франк,30.6428,CHF,24.04.2021
818,Єгипетський фунт,1.7894,EGP,24.04.2021
826,Фунт стерлінгів,38.925,GBP,24.04.2021
840,Долар США,28.0642,USD,24.04.2021
933,Білоруський рубль,10.8936,BYN,24.04.2021
946,Румунський лей,6.8625,RON,24.04.2021
949,Турецька ліра,3.3949,TRY,24.04.2021
960,СПЗ (спеціальні права запозичення),40.2546,XDR,24.04.2021
975,Болгарський лев,17.2948,BGN,24.04.2021
978,Євро,33.8103,EUR,24.04.2021
985,Злотий,7.4209,PLN,24.04.2021
12,Алжирський динар,0.20766,DZD,24.04.2021
50,Така,0.3281,BDT,24.04.2021
51,Вірменський драм,0.05238,AMD,24.04.2021
364,Іранський ріал,0.00066244,IRR,24.04.2021
368,Іракський динар,0.019057,IQD,24.04.2021
417,Сом,0.32812,KGS,24.04.2021
422,Ліванський фунт,0.018456,LBP,24.04.2021
434,Лівійський динар,6.1267,LYD,24.04.2021
458,Малайзійський ринггіт,6.7131,MYR,24.04.2021
504,Марокканський дирхам,3.0694,MAD,24.04.2021
586,Пакистанська рупія,0.18264,PKR,24.04.2021
704,Донг,0.0012057,VND,24.04.2021
764,Бат,0.88992,THB,24.04.2021
784,Дирхам ОАЕ,7.5749,AED,24.04.2021
788,Туніський динар,9.9395,TND,24.04.2021
860,Узбецький сум,0.0026534,UZS,24.04.2021
934,Туркменський новий манат,7.9493,TMT,24.04.2021
941,Сербський динар,0.27753,RSD,24.04.2021
944,Азербайджанський манат,16.3778,AZN,24.04.2021
972,Сомоні,2.4591,TJS,24.04.2021
981,Ларі,8.1066,GEL,24.04.2021
986,Бразильський реал,4.8463,BRL,24.04.2021
959,Золото,50107.79,XAU,24.04.2021
961,Срібло,738.85,XAG,24.04.2021
962,Платина,33977.61,XPT,24.04.2021
964,Паладій,80083.44,XPD,24.04.2021
36,Австралійський долар,21.7063,AUD,25.04.2021
124,Канадський долар,22.4469,CAD,25.04.2021
156,Юань Женьміньбі,4.3236,CNY,25.04.2021
191,Куна,4.4647,HRK,25.04.2021
203,Чеська крона,1.3074,CZK,25.04.2021
208,Данська крона,4.5465,DKK,25.04.2021
344,Гонконгівський долар,3.6167,HKD,25.04.2021
348,Форинт,0.092983,HUF,25.04.2021
356,Індійська рупія,0.37447,INR,25.04.2021
360,Рупія,0.0019321,IDR,25.04.2021
376,Новий ізраїльський шекель,8.6047,ILS,25.04.2021
392,Єна,0.25946,JPY,25.04.2021
398,Теньге,0.06493,KZT,25.04.2021
410,Вона,0.025113,KRW,25.04.2021
484,Мексиканське песо,1.4086,MXN,25.04.2021
498,Молдовський лей,1.5578,MDL,25.04.2021
554,Новозеландський долар,20.1515,NZD,25.04.2021
578,Норвезька крона,3.3653,NOK,25.04.2021
643,Російський рубль,0.37081,RUB,25.04.2021
682,Саудівський ріял,7.4832,SAR,25.04.2021
702,Сінгапурський долар,21.1327,SGD,25.04.2021
710,Ренд,1.9629,ZAR,25.04.2021
752,Шведська крона,3.3401,SEK,25.04.2021
756,Швейцарський франк,30.6428,CHF,25.04.2021
818,Єгипетський фунт,1.7894,EGP,25.04.2021
826,Фунт стерлінгів,38.925,GBP,25.04.2021
840,Долар США,28.0642,USD,25.04.2021
933,Білоруський рубль,10.8936,BYN,25.04.2021
946,Румунський лей,6.8625,RON,25.04.2021
949,Турецька ліра,3.3949,TRY,25.04.2021
960,СПЗ (спеціальні права запозичення),40.2546,XDR,25.04.2021
975,Болгарський лев,17.2948,BGN,25.04.2021
978,Євро,33.8103,EUR,25.04.2021
985,Злотий,7.4209,PLN,25.04.2021
12,Алжирський динар,0.20766,DZD,25.04.2021
50,Така,0.3281,BDT,25.04.2021
51,Вірменський драм,0.05238,AMD,25.04.2021
364,Іранський ріал,0.00066244,IRR,25.04.2021
368,Іракський динар,0.019057,IQD,25.04.2021
417,Сом,0.32812,KGS,25.04.2021
422,Ліванський фунт,0.018456,LBP,25.04.2021
434,Лівійський динар,6.1267,LYD,25.04.2021
458,Малайзійський ринггіт,6.7131,MYR,25.04.2021
504,Марокканський дирхам,3.0694,MAD,25.04.2021
586,Пакистанська рупія,0.18264,PKR,25.04.2021
704,Донг,0.0012057,VND,25.04.2021
764,Бат,0.88992,THB,25.04.2021
784,Дирхам ОАЕ,7.5749,AED,25.04.2021
788,Туніський динар,9.9395,TND,25.04.2021
860,Узбецький сум,0.0026534,UZS,25.04.2021
934,Туркменський новий манат,7.9493,TMT,25.04.2021
941,Сербський динар,0.27753,RSD,25.04.2021
944,Азербайджанський манат,16.3778,AZN,25.04.2021
972,Сомоні,2.4591,TJS,25.04.2021
981,Ларі,8.1066,GEL,25.04.2021
986,Бразильський реал,4.8463,BRL,25.04.2021
959,Золото,50107.79,XAU,25.04.2021
961,Срібло,738.85,XAG,25.04.2021
962,Платина,33977.61,XPT,25.04.2021
964,Паладій,80083.44,XPD,25.04.2021
36,Австралійський долар,21.5957,AUD,26.04.2021
124,Канадський долар,22.3453,CAD,26.04.2021
156,Юань Женьміньбі,4.2987,CNY,26.04.2021
191,Куна,4.4478,HRK,26.04.2021
203,Чеська крона,1.3024,CZK,26.04.2021
208,Данська крона,4.5281,DKK,26.04.2021
344,Гонконгівський долар,3.5947,HKD,26.04.2021
348,Форинт,0.092631,HUF,26.04.2021
356,Індійська рупія,0.37194,INR,26.04.2021
360,Рупія,0.0019207,IDR,26.04.2021
376,Новий ізраїльський шекель,8.5769,ILS,26.04.2021
392,Єна,0.25929,JPY,26.04.2021
398,Теньге,0.064833,KZT,26.04.2021
410,Вона,0.024956,KRW,26.04.2021
484,Мексиканське песо,1.407,MXN,26.04.2021
498,Молдовський лей,1.5508,MDL,26.04.2021
554,Новозеландський долар,20.043,NZD,26.04.2021
578,Норвезька крона,3.3503,NOK,26.04.2021
643,Російський рубль,0.37311,RUB,26.04.2021
682,Саудівський ріял,7.44,SAR,26.04.2021
702,Сінгапурський долар,21.0275,SGD,26.04.2021
710,Ренд,1.9572,ZAR,26.04.2021
752,Шведська крона,3.3204,SEK,26.04.2021
756,Швейцарський франк,30.495,CHF,26.04.2021
818,Єгипетський фунт,1.7773,EGP,26.04.2021
826,Фунт стерлінгів,38.7285,GBP,26.04.2021
840,Долар США,27.9014,USD,26.04.2021
933,Білоруський рубль,10.8892,BYN,26.04.2021
946,Румунський лей,6.8377,RON,26.04.2021
949,Турецька ліра,3.3421,TRY,26.04.2021
960,СПЗ (спеціальні права запозичення),40.0619,XDR,26.04.2021
975,Болгарський лев,17.2146,BGN,26.04.2021
978,Євро,33.6714,EUR,26.04.2021
985,Злотий,7.3796,PLN,26.04.2021
12,Алжирський динар,0.20766,DZD,26.04.2021
50,Така,0.3281,BDT,26.04.2021
51,Вірменський драм,0.05238,AMD,26.04.2021
364,Іранський ріал,0.00066244,IRR,26.04.2021
368,Іракський динар,0.019057,IQD,26.04.2021
417,Сом,0.32812,KGS,26.04.2021
422,Ліванський фунт,0.018456,LBP,26.04.2021
434,Лівійський динар,6.1267,LYD,26.04.2021
458,Малайзійський ринггіт,6.7131,MYR,26.04.2021
504,Марокканський дирхам,3.0694,MAD,26.04.2021
586,Пакистанська рупія,0.18264,PKR,26.04.2021
704,Донг,0.0012057,VND,26.04.2021
764,Бат,0.88992,THB,26.04.2021
784,Дирхам ОАЕ,7.5749,AED,26.04.2021
788,Туніський динар,9.9395,TND,26.04.2021
860,Узбецький сум,0.0026534,UZS,26.04.2021
934,Туркменський новий манат,7.9493,TMT,26.04.2021
941,Сербський динар,0.27753,RSD,26.04.2021
944,Азербайджанський манат,16.3778,AZN,26.04.2021
972,Сомоні,2.4591,TJS,26.04.2021
981,Ларі,8.1066,GEL,26.04.2021
986,Бразильський реал,4.8463,BRL,26.04.2021
959,Золото,50045.35,XAU,26.04.2021
961,Срібло,734.25,XAG,26.04.2021
962,Платина,34662.75,XPT,26.04.2021
964,Паладій,81082.03,XPD,26.04.2021
36,Австралійський долар,21.6843,AUD,27.04.2021
124,Канадський долар,22.3903,CAD,27.04.2021
156,Юань Женьміньбі,4.2945,CNY,27.04.2021
191,Куна,4.4482,HRK,27.04.2021
203,Чеська крона,1.3033,CZK,27.04.2021
208,Данська крона,4.5254,DKK,27.04.2021
344,Гонконгівський долар,3.5898,HKD,27.04.2021
348,Форинт,0.092627,HUF,27.04.2021
356,Індійська рупія,0.3728,INR,27.04.2021
360,Рупія,0.0019228,IDR,27.04.2021
376,Новий ізраїльський шекель,8.5935,ILS,27.04.2021
392,Єна,0.25777,JPY,27.04.2021
398,Теньге,0.064769,KZT,27.04.2021
410,Вона,0.025022,KRW,27.04.2021
484,Мексиканське песо,1.4045,MXN,27.04.2021
498,Молдовський лей,1.5522,MDL,27.04.2021
